Nama Produk;Nama Motor;Merk Motor;Warna Motor;Tahun Pembuatan;Provinsi;Harga;Kapasitas Mesin;Rentang Harga;;;;;;;;;;;;;;;;
DI JUAL MOTOR HONDA BEAT 2013 INJEKSI (NEGO);beat;honda;biru;2013;jakarta;7.835.000,00;110;<15jt;;;;;;;;;;;;;;;;
Scoopy staylish thn 2020;scoopy;honda;merah;2020;jawa barat;18.700.000,00;125;15-30jt;;;;;;;;;;;;;;;;
Yamaha Nmax ABS 2019;n-max;yamaha;hitam;2019;jakarta;26.000.000,00;155;15-30jt;;;;;;;;;;;;;;;;
dijual murah motor Honda CB 150 Verza;cb150r;honda;hitam;2018;banten;15.200.000,00;150;15-30jt;;;;;;;;;;;;;;;;
MURAH! Honda ADV 150 ABS Tgn Ke-1 (2019);adv;honda;merah;2019;jakarta;26.800.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Kawasaki W175 SE 2019 Joss;w175;kawasaki;hijau;2019;jakarta;22.500.000,00;175;15-30jt;;;;;;;;;;;;;;;;
Mx king 2016;mx-king;yamaha;biru;2016;jawa tengah;9.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
Dijual Vario 150 Th 2016;vario;honda;biru;2016;jakarta;13.500.000,00;150;<15jt;;;;;;;;;;;;;;;;
DIJUAL YAMAHA VIXION TAHUN 2017 WARNA HITAM;vixion;yamaha;hitam;2017;jawa barat;15.500.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Jl.Yamaha Nmax 2021 Non ABS;n-max;yamaha;hitam;2021;jawa barat;28.500.000,00;155;15-30jt;;;;;;;;;;;;;;;;
Djual motor Japstyle Scorpio 2006;scorpio;yamaha;biru;2006;jawa barat;13.000.000,00;225;<15jt;;;;;;;;;;;;;;;;
Honda verza 150cc;verza;honda;merah;2015;jawa barat;13.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
Jual Apa adanya New Vixion Lighting 2013 Lengkap;vixion;yamaha;hitam;2013;jakarta;10.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
Jual Vespa Super 76;vespa;vespa;hijau;1970;yogyakarta;18.750.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Yamaha Lexi S 2018 brown/coklat;lexi s;yamaha;coklat;2018;jakarta;17.000.000,00;125;15-30jt;;;;;;;;;;;;;;;;
Jual Murah HONDA KHARISMA 125D;karisma;honda;hitam;2003;lampung;3.500.000,00;125;<15jt;;;;;;;;;;;;;;;;
Jual cepat Suzuki GSF150 Bandit;gsx-150 bandit;suzuki;hitam;2018;jawa barat;16.750.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Vespa Sera 1985 Original Paint;vespa;vespa;biru;1980;jawa tengah;14.500.000,00;150;<15jt;;;;;;;;;;;;;;;;
KAWASAKI NINJA MONO 250RR | 21000KM | TAHUN 2015;ninja;kawasaki;merah;2015;jakarta;17.000.000,00;250;15-30jt;;;;;;;;;;;;;;;;
scoopy 2020 plat AB;scoopy;honda;hitam;2020;yogyakarta;19.500.000,00;110;15-30jt;;;;;;;;;;;;;;;;
Honda Karisma 2003 Merah Original;karisma;honda;merah;2003;jawa barat;4.500.000,00;125;<15jt;;;;;;;;;;;;;;;;
Kawasaki Ninja KR 150 N;ninja;kawasaki;biru;2012;kepulauan riau;20.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Yamaha Byson 2013;byson;yamaha;hitam;2013;jawa barat;6.700.000,00;153;<15jt;;;;;;;;;;;;;;;;
Honda Beat kinyis2;beat;honda;hitam;2018;jawa tengah;14.000.000,00;110;<15jt;;;;;;;;;;;;;;;;
Honda Beat FI CBS ISS 2018 Kondisi Istimewa;beat;honda;merah;2018;jawa barat;13.000.000,00;110;<15jt;;;;;;;;;;;;;;;;
Jual Cepat Shuzuki Shogun Daerah Lamongan;shogun;suzuki;merah;2005;jawa timur;3.700.000,00;100;<15jt;;;;;;;;;;;;;;;;
KAWASAKI Z250 MERAH 2013 PLAT AB SLEMAN;z250;kawasaki;merah;2013;yogyakarta;29.850.000,00;250;15-30jt;;;;;;;;;;;;;;;;
Lexi ABS 2019;lexi s;yamaha;hitam;2018;jawa barat;16.000.000,00;125;15-30jt;;;;;;;;;;;;;;;;
Kawasaki Ninja 250 SL;ninja;kawasaki;merah;2019;jakarta;27.000.000,00;250;15-30jt;;;;;;;;;;;;;;;;
Jual honda scoopy;scoopy;honda;hitam;2015;jawa barat;12.500.000,00;110;<15jt;;;;;;;;;;;;;;;;
Dijual Murah Motor BMW R1200GS LC K50, Thn 2013, FP;r1200gs;bmw;abu-abu;2013;jakarta;408.000.000,00;1200;>60jt;;;;;;;;;;;;;;;;
Jual Jupiter Z 2010 kondisi baik nego;jupiter;yamaha;merah;2010;yogyakarta;7.999.000,00;110;<15jt;;;;;;;;;;;;;;;;
KAWASAKI KLX 150 G 2015;klx;kawasaki;hijau;2015;jawa barat;20.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
BIG SCRAMBLER BASIC MEGA PRO MONO 2011;megapro;honda;biru;2011;jawa timur;16.000.000,00;110;15-30jt;;;;;;;;;;;;;;;;
Kymco trend movie 125;kymco;jetmatic;hitam;2004;jawa barat;6.000.000,00;125;<15jt;;;;;;;;;;;;;;;;
Jual motor Yamaha Vega ZR cepat;vega zr;yamaha;hitam;2009;jawa barat;4.500.000,00;115;<15jt;;;;;;;;;;;;;;;;
Dijual Cepat Honda Supra X 125 Tahun 2011;supra;honda;hitam;2011;jakarta;7.800.000,00;125;<15jt;;;;;;;;;;;;;;;;
All New Kawasaki Ninja 250 Fi 2018 (low km) like new;ninja;kawasaki;merah;2018;jawa barat;55.000.000,00;250;45-60jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Honda cbr1000rr th 2019;cbr;honda;merah;2019;jawa timur;315.000.000,00;1000;>60jt;;;;;;;;;;;;;;;;
Jual Cepat Honda Scoopy tahun 2019;scoopy;honda;hitam;2019;jawa barat;9.000.000,00;110;<15jt;;;;;;;;;;;;;;;;
Jupiter Z 110cc Merah Maroon 2007 Second Istimewa;jupiter;yamaha;merah;2007;jawa tengah;7.000.000,00;110;<15jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Pulsar 220 CC Custom Bobber Cruiser;pulsar;kawasaki;merah;2012;jakarta;16.500.000,00;220;15-30jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Pulsar 180CC UG4 Custom Bobber Cruiser;pulsar;kawasaki;hitam;2011;jakarta;14.500.000,00;180;<15jt;;;;;;;;;;;;;;;;
For sale: piaggio 2019 125 S IGET;vespa;piaggio;hitam;2019;jawa barat;35.000.000,00;125;30-45jt;;;;;;;;;;;;;;;;
JUAL Ninja RR new;ninja;kawasaki;hijau;2015;banten;22.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Vespa exclusive 2 tahun 1995;vespa;vespa;biru;1990;jawa barat;18.500.000,00;100;15-30jt;;;;;;;;;;;;;;;;
Dijual Cepat Motor Honda Beat tahun 2016 harga Nego;beat;honda;merah;2016;sumatera barat;8.500.000,00;108;<15jt;;;;;;;;;;;;;;;;
Honda Beat FI tahun 2013;beat;honda;merah;2013;jawa barat;7.300.000,00;110;<15jt;;;;;;;;;;;;;;;;
Yamaha Mio J tahun 2013;mio;yamaha;hitam;2013;jawa barat;6.000.000,00;125;<15jt;;;;;;;;;;;;;;;;
